,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status,target,numeric_target,cat_target,score,descrete_score
392,... < 0 DM,36,existing credits paid back duly till now,car (new),3249,... <  100 DM,4  <= ... < 7 years,2,none,4,unknown / no property,39,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,3334,1,1.0123120607449896,1
394,no checking account,9,critical account/  other credits existing (not at this bank),furniture/equipment,2406,... <  100 DM,unemployed,2,none,3,"car or other, not in attribute 6",31,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,single,1,2454,1,0.9896193736431322,1
395,0 <= ... < 200 DM,39,delay in paying off in the past,education,11760,100 <= ... <  500 DM,4  <= ... < 7 years,2,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,11839,1,0.9902577054671785,1
397,... < 0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,2348,... <  100 DM,1  <= ... < 4 years,3,none,2,building society savings agreement/ life insurance,46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,2439,1,0.9902387128139224,1
398,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1223,... <  100 DM,.. >= 7 years,1,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,no,male,divorced/separated,1,1287,0,0.03618233442444074,1
400,no checking account,18,existing credits paid back duly till now,radio/television,1473,... <  100 DM,... < 1 year,3,none,4,real estate,39,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,0,1539,1,1.0202415542392897,1
401,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),business,1887,unknown/ no savings account,1  <= ... < 4 years,4,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,no,male,married/widowed,1,1945,1,1.0188630798326233,1
402,no checking account,24,delay in paying off in the past,business,8648,... <  100 DM,... < 1 year,2,none,2,"car or other, not in attribute 6",27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,8707,1,1.0027389534893971,1
403,no checking account,14,delay in paying off in the past,car (new),802,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,no,male,single,1,853,0,-0.00014095581972806137,0
404,0 <= ... < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,.. >= 7 years,4,none,4,"car or other, not in attribute 6",43,none,own,1,skilled employee / official,2,none,no,male,single,0,2971,1,1.009062888951603,1
405,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2039,... <  100 DM,... < 1 year,1,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,2090,1,0.988493150175866,1
406,no checking account,24,critical account/  other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",43,none,own,2,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,2277,1,1.0163583775671066,1
407,... < 0 DM,15,existing credits paid back duly till now,radio/television,1053,... <  100 DM,... < 1 year,4,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,0,1103,0,-0.002020188596472794,0
408,no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,.. >= 7 years,3,none,2,"car or other, not in attribute 6",26,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,divorced/separated,1,3293,1,1.0030546644772331,1
409,>= 200 DM,12,critical account/  other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4  <= ... < 7 years,4,none,2,real estate,28,none,own,3,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,990,0,0.025165945403683887,1
411,no checking account,33,critical account/  other credits existing (not at this bank),car (used),7253,... <  100 DM,4  <= ... < 7 years,3,none,2,"car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,7330,1,1.0073314700469982,1
412,no checking account,12,critical account/  other credits existing (not at this bank),business,2292,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",42,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,0,2355,1,1.0070091772154992,1
413,no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM,1  <= ... < 4 years,3,none,2,unknown / no property,40,none,rent,1,unskilled - resident,2,none,yes,male,single,1,1656,1,0.9930549327098552,1
415,no checking account,36,critical account/  other credits existing (not at this bank),car (used),5842,... <  100 DM,.. >= 7 years,2,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,5922,1,1.006881210591624,1
416,... < 0 DM,12,existing credits paid back duly till now,car (new),2579,... <  100 DM,... < 1 year,4,none,1,real estate,33,none,own,1,unskilled - resident,2,none,no,male,single,0,2632,1,0.9969736399846036,1
421,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,no,male,single,1,2079,1,1.003671684906016,1
422,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (new),958,... <  100 DM,4  <= ... < 7 years,2,none,3,real estate,47,none,own,2,unskilled - resident,2,none,no,male,single,1,1027,0,0.005891872644862128,1
423,no checking account,21,delay in paying off in the past,furniture/equipment,1591,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,3,real estate,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,single,1,1657,1,1.0044500368209788,1
425,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),2779,... <  100 DM,1  <= ... < 4 years,1,none,3,"car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,2825,1,1.0011584094755455,1
426,no checking account,28,critical account/  other credits existing (not at this bank),radio/television,2743,... <  100 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,no,male,single,1,2810,1,1.0062063102007248,1
427,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1149,.. >= 1000 DM,1  <= ... < 4 years,4,none,3,real estate,46,none,own,2,skilled employee / official,1,none,no,male,single,1,1224,0,-0.009355687086407105,0
428,no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,... <  100 DM,.. >= 7 years,1,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,no,male,single,1,1350,0,-0.01799080469782488,0
430,no checking account,5,existing credits paid back duly till now,business,3448,... <  100 DM,4  <= ... < 7 years,1,none,4,real estate,74,none,own,1,unskilled - resident,1,none,no,male,single,0,3534,1,0.9816220420116044,1
431,0 <= ... < 200 DM,24,existing credits paid back duly till now,others,11328,... <  100 DM,1  <= ... < 4 years,2,co-applicant,3,"car or other, not in attribute 6",29,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,0,11389,1,1.0017225623558599,1
432,... < 0 DM,6,critical account/  other credits existing (not at this bank),furniture/equipment,1872,... <  100 DM,unemployed,4,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,0,1926,1,1.0036483501307512,1
433,no checking account,24,critical account/  other credits existing (not at this bank),repairs,2058,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,divorced/separated,1,2125,1,1.004713092213653,1
434,... < 0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,25,none,own,1,skilled employee / official,1,none,no,male,single,1,2178,1,1.003059392834136,1
435,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1484,unknown/ no savings account,1  <= ... < 4 years,2,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,0,1526,1,0.9836567699555405,1
436,no checking account,6,existing credits paid back duly till now,repairs,660,500 <= ... < 1000 DM,4  <= ... < 7 years,2,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,no,male,married/widowed,1,698,0,-0.00468804050540661,0
438,... < 0 DM,42,critical account/  other credits existing (not at this bank),repairs,3394,... <  100 DM,unemployed,4,co-applicant,4,"car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled  - non-resident,1,none,no,male,single,1,3513,1,0.9893121236306258,1
440,no checking account,12,existing credits paid back duly till now,car (new),1884,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,1946,1,1.0203852112151168,1
442,0 <= ... < 200 DM,20,delay in paying off in the past,others,2629,... <  100 DM,1  <= ... < 4 years,2,none,3,"car or other, not in attribute 6",29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2687,1,0.9988734749227051,1
443,no checking account,12,existing credits paid back duly till now,education,719,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled - resident,2,none,no,male,single,1,784,0,0.016073657790522722,1
447,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2576,... <  100 DM,1  <= ... < 4 years,2,guarantor,2,real estate,35,none,own,1,skilled employee / official,1,none,no,male,single,1,2625,1,0.9967533992872701,1
449,0 <= ... < 200 DM,15,delay in paying off in the past,repairs,1512,.. >= 1000 DM,1  <= ... < 4 years,3,none,3,building society savings agreement/ life insurance,61,stores,own,2,skilled employee / official,1,none,no,male,married/widowed,1,1598,1,0.9858236249329617,1
450,no checking account,36,critical account/  other credits existing (not at this bank),car (used),11054,unknown/ no savings account,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,11129,1,1.0023285670711721,1
452,no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,... <  100 DM,.. >= 7 years,2,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,none,no,male,single,1,2815,1,1.003558300131152,1
453,no checking account,24,existing credits paid back duly till now,car (used),2670,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,2740,1,1.0062440881011507,1
454,... < 0 DM,24,existing credits paid back duly till now,car (new),4817,... <  100 DM,4  <= ... < 7 years,2,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,4880,1,1.0023090465021895,1
456,... < 0 DM,11,critical account/  other credits existing (not at this bank),car (new),3905,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,no,male,single,1,3961,1,1.0025253105139542,1
457,... < 0 DM,12,existing credits paid back duly till now,car (used),3386,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,3443,1,1.0050736660453667,1
459,no checking account,18,existing credits paid back duly till now,radio/television,4594,... <  100 DM,... < 1 year,3,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,4652,1,1.0000135546463342,1
460,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,... <  100 DM,1  <= ... < 4 years,1,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,2,none,no,male,single,1,3700,1,0.9917977834882481,1
461,... < 0 DM,15,existing credits paid back duly till now,car (new),1721,... <  100 DM,... < 1 year,2,none,3,real estate,36,none,own,1,skilled employee / official,1,none,no,male,single,0,1779,1,0.9985523019674547,1
463,0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1,none,no,male,single,1,816,0,-0.0027266099960560064,0
464,no checking account,18,existing credits paid back duly till now,business,1950,... <  100 DM,4  <= ... < 7 years,4,none,1,"car or other, not in attribute 6",34,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2011,1,1.005452232740033,1
465,... < 0 DM,24,existing credits paid back duly till now,car (used),2924,... <  100 DM,1  <= ... < 4 years,3,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,3022,1,1.004956298221364,1
467,no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,.. >= 7 years,3,none,3,"car or other, not in attribute 6",32,bank,own,2,skilled employee / official,2,none,no,male,single,0,7328,1,0.9924123358584261,1
469,no checking account,24,delay in paying off in the past,car (used),4679,... <  100 DM,4  <= ... < 7 years,3,none,3,"car or other, not in attribute 6",35,none,own,2,unskilled - resident,1,"yes, registered under the customers name",no,male,single,1,4748,1,0.9993643040312895,1
470,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3092,100 <= ... <  500 DM,... < 1 year,3,none,2,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,3146,1,1.00050146883293,1
472,... < 0 DM,9,existing credits paid back duly till now,car (new),654,... <  100 DM,1  <= ... < 4 years,4,none,3,"car or other, not in attribute 6",28,none,own,1,unskilled - resident,1,none,no,male,single,1,701,0,-0.00047827908269648667,0
473,no checking account,6,existing credits paid back duly till now,retraining,1238,unknown/ no savings account,unemployed,4,none,4,building society savings agreement/ life insurance,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,1292,0,-0.0029741750456770966,0
474,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),radio/television,1245,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,no,male,married/widowed,1,1305,0,0.007360720749849281,1
476,no checking account,39,existing credits paid back duly till now,car (used),2569,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,no,male,single,1,2643,1,0.992684057146793,1
477,>= 200 DM,24,existing credits paid back duly till now,radio/television,5152,... <  100 DM,4  <= ... < 7 years,4,none,2,"car or other, not in attribute 6",25,bank,own,1,skilled employee / official,1,none,no,male,single,1,5210,1,0.99786387942252,1
478,0 <= ... < 200 DM,12,existing credits paid back duly till now,business,1037,100 <= ... <  500 DM,4  <= ... < 7 years,3,none,4,real estate,39,none,own,1,unskilled - resident,1,none,no,male,single,1,1098,0,-0.0010633593131588182,0
479,... < 0 DM,15,critical account/  other credits existing (not at this bank),furniture/equipment,1478,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,1550,1,1.0032070316070327,1
481,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1201,... <  100 DM,... < 1 year,4,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,no,male,single,0,1258,0,0.007995899708468812,1
484,no checking account,12,critical account/  other credits existing (not at this bank),car (new),1163,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,4,real estate,44,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1230,0,-0.0008603363637331718,0
485,0 <= ... < 200 DM,6,delay in paying off in the past,car (new),1209,... <  100 DM,unemployed,4,none,4,building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,1273,0,0.0014966826793887389,1
486,no checking account,12,existing credits paid back duly till now,radio/television,3077,... <  100 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,3150,1,0.9945520656888447,1
488,no checking account,10,existing credits paid back duly till now,car (new),1418,100 <= ... <  500 DM,1  <= ... < 4 years,3,none,2,real estate,35,none,rent,1,unskilled - resident,1,none,yes,male,single,0,1470,0,-0.0029954854308219536,0
489,no checking account,6,existing credits paid back duly till now,car (new),3518,... <  100 DM,1  <= ... < 4 years,2,guarantor,3,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,none,no,male,single,1,3558,1,1.0023030731510227,1
490,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1934,... <  100 DM,.. >= 7 years,2,none,2,unknown / no property,26,none,own,2,skilled employee / official,1,none,no,male,single,1,1980,1,1.0049598381796576,1
493,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,none,no,male,single,0,422,0,0.0011278942527096492,1
494,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),2122,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,39,none,rent,2,unskilled - resident,2,none,yes,male,single,1,2183,1,0.9990512541803936,1
495,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,no,male,married/widowed,1,3049,1,0.9918347041953965,1
496,0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 <= ... <  500 DM,... < 1 year,4,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,9107,1,1.008724908730872,1
497,no checking account,24,critical account/  other credits existing (not at this bank),furniture/equipment,1585,... <  100 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,none,no,male,single,1,1660,1,1.0071293861137787,1
498,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1301,... <  100 DM,.. >= 7 years,4,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,none,no,male,married/widowed,1,1360,0,-0.003543442871449476,0
499,>= 200 DM,6,critical account/  other credits existing (not at this bank),car (new),1323,100 <= ... <  500 DM,.. >= 7 years,2,none,4,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,2,"yes, registered under the customers name",no,male,divorced/separated,1,1368,0,-0.017999240788741266,0
501,... < 0 DM,36,existing credits paid back duly till now,car (used),5493,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,42,none,for free,1,skilled employee / official,2,none,no,male,single,1,5581,1,1.0070258113283486,1
502,>= 200 DM,9,existing credits paid back duly till now,radio/television,1126,100 <= ... <  500 DM,.. >= 7 years,2,none,4,real estate,49,none,own,1,skilled employee / official,1,none,no,male,divorced/separated,1,1193,0,-0.00277699565607592,0
503,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),radio/television,1216,100 <= ... <  500 DM,... < 1 year,4,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,none,no,male,single,1,1291,0,0.019982245538510912,1
505,no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1  <= ... < 4 years,4,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,no,male,single,1,1357,0,-0.008952275077943828,0
506,>= 200 DM,15,critical account/  other credits existing (not at this bank),car (used),2360,500 <= ... < 1000 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2418,1,0.9923977557413837,1
507,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... <  500 DM,unemployed,1,none,2,building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,6906,1,1.0063522514615202,1
508,no checking account,24,existing credits paid back duly till now,radio/television,1413,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,no,male,married/widowed,0,1473,0,0.0019421698883139715,1
509,no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... <  500 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,8681,1,1.0060724288298508,1
510,... < 0 DM,12,existing credits paid back duly till now,car (new),759,... <  100 DM,4  <= ... < 7 years,4,none,2,real estate,26,none,own,1,skilled employee / official,1,none,no,male,single,1,806,0,0.002088321600310139,1
511,no checking account,36,existing credits paid back duly till now,car (used),4686,... <  100 DM,1  <= ... < 4 years,2,none,2,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,4761,1,1.0076161419039142,1
512,>= 200 DM,15,existing credits paid back duly till now,business,2687,... <  100 DM,4  <= ... < 7 years,2,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2737,1,1.0048040867567734,1
513,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,585,... <  100 DM,1  <= ... < 4 years,4,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,no,male,married/widowed,0,628,0,-0.006399622416402129,0
514,no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,no,male,single,1,2341,1,0.9858465073669854,1
516,... < 0 DM,6,critical account/  other credits existing (not at this bank),car (new),1361,... <  100 DM,... < 1 year,2,none,4,real estate,40,none,own,1,unskilled - resident,2,none,yes,male,single,1,1417,0,-0.003542890919256414,0
518,... < 0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... <  500 DM,.. >= 7 years,3,none,2,building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1260,0,-0.0004545624538712101,0
519,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,700,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,no,male,single,1,754,0,0.004717570585919373,1
520,no checking account,24,critical account/  other credits existing (not at this bank),repairs,5507,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,no,male,single,1,5586,1,1.0087621845813848,1
522,... < 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,... <  100 DM,1  <= ... < 4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,no,male,single,1,7232,1,0.9982531793954517,1
525,0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... <  100 DM,... < 1 year,2,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,no,male,single,1,8031,1,1.0025450635227966,1
527,no checking account,4,critical account/  other credits existing (not at this bank),radio/television,1503,... <  100 DM,4  <= ... < 7 years,2,none,1,real estate,42,none,own,2,unskilled - resident,2,none,no,male,single,1,1557,1,0.996391042469188,1
528,... < 0 DM,36,existing credits paid back duly till now,radio/television,2302,... <  100 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,no,male,divorced/separated,1,2380,1,0.9972336097172307,1
529,... < 0 DM,6,existing credits paid back duly till now,car (new),662,... <  100 DM,... < 1 year,3,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",no,male,single,0,719,0,0.0021905942540514367,1
530,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... <  100 DM,4  <= ... < 7 years,3,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,none,no,male,single,1,2350,1,0.9947960411817722,1
532,no checking account,12,delay in paying off in the past,car (used),1503,... <  100 DM,1  <= ... < 4 years,4,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,no,male,married/widowed,1,1567,1,1.009836871915504,1
533,no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,1371,0,0.0014459215381035229,1
534,no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,... < 1 year,4,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,no,male,single,1,3164,1,0.998996169372597,1
535,>= 200 DM,21,critical account/  other credits existing (not at this bank),education,2319,... <  100 DM,... < 1 year,2,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1,none,no,male,divorced/separated,0,2378,1,0.9923598855960627,1
538,... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,single,0,7863,1,1.0127091227283351,1
540,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,... <  100 DM,... < 1 year,1,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,no,male,married/widowed,1,1574,1,0.9897506908017384,1
541,no checking account,24,delay in paying off in the past,car (new),2032,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2128,1,1.0109549865905003,1
542,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,no,male,single,0,6421,1,1.0084905189026956,1
543,>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,2864,... <  100 DM,1  <= ... < 4 years,2,none,1,real estate,34,none,own,1,unskilled - resident,2,none,no,male,single,1,2923,1,1.0018739177805633,1
544,no checking account,12,critical account/  other credits existing (not at this bank),car (new),1255,... <  100 DM,.. >= 7 years,4,none,4,real estate,61,none,own,2,unskilled - resident,1,none,no,male,single,1,1340,0,-0.002663110996478757,0
545,... < 0 DM,24,delay in paying off in the past,car (new),1333,... <  100 DM,unemployed,4,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,no,male,single,1,1411,0,0.004162288491872279,1
547,no checking account,24,existing credits paid back duly till now,radio/television,1552,... <  100 DM,4  <= ... < 7 years,3,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,none,no,male,single,0,1615,1,0.9910158633163484,1
549,no checking account,48,critical account/  other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4  <= ... < 7 years,2,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,8948,1,1.0034746677911484,1
551,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,.. >= 7 years,2,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,no,male,single,1,1811,1,0.9727416093499255,1
552,... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... <  100 DM,4  <= ... < 7 years,1,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,7087,1,0.9990196905288469,1
553,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (new),1995,100 <= ... <  500 DM,... < 1 year,4,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,no,male,single,1,2042,1,0.9959818117002499,1
