,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
176,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,... <  100 DM,1  <= ... < 4 years,2,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated
177,... < 0 DM,6,critical account/  other credits existing (not at this bank),radio/television,338,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,none,yes,male,single
178,no checking account,12,existing credits paid back duly till now,radio/television,1963,... <  100 DM,4  <= ... < 7 years,4,none,2,"car or other, not in attribute 6",31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
179,... < 0 DM,21,critical account/  other credits existing (not at this bank),car (new),571,... <  100 DM,.. >= 7 years,4,none,4,real estate,65,none,own,2,skilled employee / official,1,none,yes,male,single
180,no checking account,36,delay in paying off in the past,business,9572,... <  100 DM,... < 1 year,1,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated
181,0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated
182,... < 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/ no savings account,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,40,none,own,2,unskilled - resident,2,none,yes,male,single
183,no checking account,24,critical account/  other credits existing (not at this bank),furniture/equipment,3777,.. >= 1000 DM,1  <= ... < 4 years,4,none,4,real estate,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
184,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),car (new),884,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",36,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
185,no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1360,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,none,yes,male,single
186,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,female,divorced/separated/married
187,0 <= ... < 200 DM,16,critical account/  other credits existing (not at this bank),car (new),1175,... <  100 DM,unemployed,2,none,3,"car or other, not in attribute 6",68,none,for free,3,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes,male,single
188,... < 0 DM,12,existing credits paid back duly till now,radio/television,674,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,1,building society savings agreement/ life insurance,20,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
189,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,... <  100 DM,1  <= ... < 4 years,1,none,4,"car or other, not in attribute 6",33,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
190,no checking account,24,existing credits paid back duly till now,business,4591,.. >= 1000 DM,1  <= ... < 4 years,2,none,3,building society savings agreement/ life insurance,54,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
191,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,none,yes,male,single
192,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
193,no checking account,6,existing credits paid back duly till now,radio/television,2108,... <  100 DM,4  <= ... < 7 years,2,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed
194,0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= ... <  500 DM,1  <= ... < 4 years,4,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,male,single
195,0 <= ... < 200 DM,9,critical account/  other credits existing (not at this bank),education,1501,... <  100 DM,.. >= 7 years,2,none,3,"car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
196,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1382,... <  100 DM,1  <= ... < 4 years,1,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
197,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= ... <  500 DM,... < 1 year,4,none,4,"car or other, not in attribute 6",27,bank,rent,4,skilled employee / official,1,none,yes,female,divorced/separated/married
198,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
199,0 <= ... < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,... <  100 DM,.. >= 7 years,4,none,3,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated
200,no checking account,9,critical account/  other credits existing (not at this bank),education,936,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
201,... < 0 DM,12,existing credits paid back duly till now,car (new),1168,... <  100 DM,1  <= ... < 4 years,4,none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,male,married/widowed
202,no checking account,27,delay in paying off in the past,business,5117,... <  100 DM,4  <= ... < 7 years,3,none,4,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,male,single
203,... < 0 DM,12,existing credits paid back duly till now,retraining,902,... <  100 DM,4  <= ... < 7 years,4,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed
204,no checking account,12,critical account/  other credits existing (not at this bank),car (new),1495,... <  100 DM,.. >= 7 years,4,none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,male,single
205,... < 0 DM,30,critical account/  other credits existing (not at this bank),car (used),10623,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,38,none,for free,3,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
206,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,1935,... <  100 DM,.. >= 7 years,4,none,4,real estate,43,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
207,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),domestic appliances,1424,... <  100 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,male,single
208,... < 0 DM,24,existing credits paid back duly till now,business,6568,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",21,stores,own,1,unskilled - resident,1,none,yes,male,married/widowed
209,no checking account,12,existing credits paid back duly till now,car (used),1413,.. >= 1000 DM,4  <= ... < 7 years,3,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,none,no,male,single
210,no checking account,9,critical account/  other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1  <= ... < 4 years,1,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,male,single
211,no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,.. >= 7 years,2,none,4,real estate,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
212,... < 0 DM,27,no credits taken/ all credits paid back duly,business,5293,... <  100 DM,unemployed,2,none,4,building society savings agreement/ life insurance,50,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
213,>= 200 DM,30,delay in paying off in the past,business,1908,... <  100 DM,.. >= 7 years,4,none,4,real estate,66,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
214,no checking account,36,critical account/  other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,.. >= 7 years,4,none,2,"car or other, not in attribute 6",51,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
215,0 <= ... < 200 DM,6,critical account/  other credits existing (not at this bank),retraining,932,unknown/ no savings account,4  <= ... < 7 years,1,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated/married
216,... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,... <  100 DM,4  <= ... < 7 years,3,none,1,building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
217,>= 200 DM,36,existing credits paid back duly till now,radio/television,3913,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
218,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated
219,no checking account,10,existing credits paid back duly till now,car (new),1364,... <  100 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",64,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
220,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,625,... <  100 DM,... < 1 year,4,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed
221,... < 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1  <= ... < 4 years,4,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
222,no checking account,12,existing credits paid back duly till now,radio/television,707,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,30,bank,own,2,skilled employee / official,1,none,yes,male,single
223,no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1  <= ... < 4 years,4,none,4,real estate,32,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
224,no checking account,15,existing credits paid back duly till now,car (used),4657,... <  100 DM,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
225,no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single
226,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,10961,.. >= 1000 DM,4  <= ... < 7 years,1,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
227,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,53,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
228,no checking account,9,existing credits paid back duly till now,radio/television,1478,... <  100 DM,4  <= ... < 7 years,4,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,male,single
229,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,... <  100 DM,... < 1 year,4,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,none,yes,male,single
230,>= 200 DM,36,existing credits paid back duly till now,radio/television,4210,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,male,single
231,no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,.. >= 7 years,2,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,male,single
232,no checking account,12,existing credits paid back duly till now,radio/television,2141,100 <= ... <  500 DM,4  <= ... < 7 years,3,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,male,single
233,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,866,... <  100 DM,1  <= ... < 4 years,4,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,male,married/widowed
234,no checking account,4,critical account/  other credits existing (not at this bank),radio/television,1544,... <  100 DM,4  <= ... < 7 years,2,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,male,single
235,... < 0 DM,24,existing credits paid back duly till now,radio/television,1823,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",30,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single
236,0 <= ... < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,none,2,building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes,male,single
237,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= ... <  500 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",61,bank,rent,2,unskilled - resident,1,none,yes,male,divorced/separated
238,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1291,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
239,... < 0 DM,30,existing credits paid back duly till now,radio/television,2522,... <  100 DM,.. >= 7 years,1,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,none,yes,male,single
240,... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,.. >= 7 years,4,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
241,no checking account,6,existing credits paid back duly till now,radio/television,1595,... <  100 DM,4  <= ... < 7 years,3,none,2,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,none,yes,male,single
242,... < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes,male,single
243,no checking account,12,critical account/  other credits existing (not at this bank),business,1185,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
244,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,female,divorced/separated/married
245,no checking account,24,existing credits paid back duly till now,business,1258,... <  100 DM,4  <= ... < 7 years,4,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
246,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,717,... <  100 DM,.. >= 7 years,4,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,male,single
247,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,male,single
248,>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,1925,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,male,single
249,no checking account,18,existing credits paid back duly till now,radio/television,433,... <  100 DM,unemployed,3,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
250,... < 0 DM,6,critical account/  other credits existing (not at this bank),car (new),666,.. >= 1000 DM,4  <= ... < 7 years,3,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
251,>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,2251,... <  100 DM,1  <= ... < 4 years,1,none,2,"car or other, not in attribute 6",46,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
252,0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... <  100 DM,1  <= ... < 4 years,4,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
253,no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 <= ... <  500 DM,1  <= ... < 4 years,2,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,male,single
254,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4  <= ... < 7 years,2,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
255,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1  <= ... < 4 years,1,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,male,single
256,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2684,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,male,single
257,... < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,... <  100 DM,1  <= ... < 4 years,4,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated
258,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... <  500 DM,... < 1 year,1,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
259,no checking account,11,critical account/  other credits existing (not at this bank),radio/television,1154,100 <= ... <  500 DM,unemployed,4,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,female,divorced/separated/married
260,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,male,single
261,... < 0 DM,24,existing credits paid back duly till now,radio/television,1603,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
262,... < 0 DM,18,critical account/  other credits existing (not at this bank),car (new),5302,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
263,no checking account,12,critical account/  other credits existing (not at this bank),education,2748,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,female,divorced/separated/married
264,no checking account,10,critical account/  other credits existing (not at this bank),car (new),1231,... <  100 DM,.. >= 7 years,3,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,male,single
265,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,802,... <  100 DM,.. >= 7 years,4,none,3,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,none,yes,male,single
266,no checking account,36,critical account/  other credits existing (not at this bank),business,6304,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,male,single
267,no checking account,24,existing credits paid back duly till now,radio/television,1533,... <  100 DM,... < 1 year,4,none,3,"car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
268,... < 0 DM,14,existing credits paid back duly till now,car (new),8978,... <  100 DM,.. >= 7 years,1,none,4,building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,divorced/separated
269,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,.. >= 7 years,4,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,male,single
270,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,no,male,single
271,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4  <= ... < 7 years,3,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
272,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
273,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3060,... <  100 DM,4  <= ... < 7 years,4,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes,male,single
274,... < 0 DM,30,existing credits paid back duly till now,repairs,11998,... <  100 DM,... < 1 year,1,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated
275,no checking account,9,existing credits paid back duly till now,radio/television,2697,... <  100 DM,1  <= ... < 4 years,1,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,male,single
276,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,2404,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
277,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,.. >= 7 years,2,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated
278,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... <  100 DM,... < 1 year,1,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
279,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
280,no checking account,15,critical account/  other credits existing (not at this bank),car (used),3368,.. >= 1000 DM,.. >= 7 years,3,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
281,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,male,single
282,>= 200 DM,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes,male,single
283,no checking account,15,critical account/  other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes,male,single
284,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),car (new),3878,100 <= ... <  500 DM,... < 1 year,4,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated
285,... < 0 DM,47,existing credits paid back duly till now,car (new),10722,... <  100 DM,... < 1 year,1,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
286,... < 0 DM,48,existing credits paid back duly till now,car (used),4788,... <  100 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes,male,single
287,0 <= ... < 200 DM,48,delay in paying off in the past,others,7582,100 <= ... <  500 DM,unemployed,2,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
288,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1092,... <  100 DM,1  <= ... < 4 years,4,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
289,... < 0 DM,24,delay in paying off in the past,radio/television,1024,... <  100 DM,... < 1 year,4,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,male,married/widowed
290,no checking account,12,existing credits paid back duly till now,business,1076,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed
291,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... <  100 DM,... < 1 year,1,none,4,"car or other, not in attribute 6",28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,married/widowed
292,... < 0 DM,24,critical account/  other credits existing (not at this bank),car (used),6419,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,female,divorced/separated/married
293,>= 200 DM,42,critical account/  other credits existing (not at this bank),car (used),4796,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes,male,single
294,no checking account,48,critical account/  other credits existing (not at this bank),business,7629,unknown/ no savings account,.. >= 7 years,4,none,2,"car or other, not in attribute 6",46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,divorced/separated
295,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... <  100 DM,... < 1 year,1,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
296,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year,1,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
297,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,.. >= 7 years,4,co-applicant,2,building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,no,male,single
298,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... <  100 DM,1  <= ... < 4 years,3,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
299,0 <= ... < 200 DM,21,critical account/  other credits existing (not at this bank),furniture/equipment,2745,.. >= 1000 DM,4  <= ... < 7 years,3,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
300,no checking account,6,existing credits paid back duly till now,car (new),672,... <  100 DM,unemployed,1,none,4,real estate,54,none,own,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
301,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... <  100 DM,1  <= ... < 4 years,4,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
302,>= 200 DM,24,critical account/  other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4  <= ... < 7 years,4,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,male,single
303,... < 0 DM,10,critical account/  other credits existing (not at this bank),car (new),1038,... <  100 DM,4  <= ... < 7 years,4,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
304,no checking account,48,critical account/  other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1  <= ... < 4 years,2,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes,male,single
305,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,.. >= 1000 DM,1  <= ... < 4 years,4,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated
306,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4  <= ... < 7 years,2,none,4,building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married
307,... < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... <  500 DM,... < 1 year,4,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,married/widowed
